game_id,stack,river_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__turn_player,last_raise_riverplayer,flop,turn,river,mise en cas de raise/bet,decision
808779423,28.0,1,5,As 9d,6.0,3,1.9,0.8252525252525252,0,0,-1,-1,Ad 4c 3h,3d,7c,1.9,bets
808778477,10.99,0,5,8d Kd,8.27,2,0.0,0.5303030303030303,0,0,0,-1,4h Th Js,Qd,Kh,0.0,checks
808774738,10.700000000000001,1,6,Kc Ks,4.9,2,1.55,0.7702020202020202,0,0,1,-1,Jc Ac 7d,9h,6h,1.55,bets
808774620,8.29,0,6,Ac 8c,3.67,2,0.0,0.4444444444444444,0,0,-1,-1,7d Ks Qs,Kd,6d,0.0,checks
808769468,27.76,1,4,Tc 9s,4.48,2,0.0,0.7171717171717171,0,0,1,-1,7c 9d Ah,5s,3h,0.0,checks
808767527,21.59,0,3,Ac Qs,23.46,2,5.64,0.8575757575757575,0,0,0,1,9c 5d As,Ks,Ts,0.0,calls
808766433,7.869999999999999,1,5,5d 8d,4.76,2,2.26,0.8909090909090909,0,0,1,-1,5h 9d 8c,8s,9s,2.26,bets
808753697,25.28,0,5,Qd Ad,9.94,2,0.0,0.34949494949494947,0,0,-1,-1,Kc 2s 9s,4s,6h,0.0,checks
808752841,6.24,0,4,Jd Ks,2.62,2,0.0,0.8444444444444444,0,0,0,-1,7c Qh Qd,Js,Tc,0.0,checks
808750695,6.130000000000001,0,6,4h As,2.46,2,0.0,0.703030303030303,0,0,-1,-1,4s 9h 3s,6h,6c,0.0,checks
808742926,3.38,1,5,6s 6c,9.11,2,11.0,0.9777777777777777,0,0,1,-1,5d 2c Ah,6d,Ks,11.0,bets
808742686,14.0,2,6,7d As,3.25,3,0.0,0.7151515151515152,0,0,-1,-1,Kd 7c 2d,3d,5h,0.0,checks
808741250,7.25,1,5,2c Th,0.6,2,0.0,0.15606060606060607,0,0,-1,-1,Qs 4d 5h,9c,Qc,0.0,checks
808735082,5.99,1,5,Ad 9s,3.12,2,0.0,0.352020202020202,0,0,-1,-1,8h 5s 4d,Td,Kh,0.0,checks
808735082,5.99,1,5,Ad 9s,5.1,2,1.98,0.352020202020202,0,0,-1,0,8h 5s 4d,Td,Kh,3.96,raises
808734299,6.89,1,5,Tc 4s,1.8299999999999996,3,0.0,0.7121212121212122,0,0,-1,-1,Ts Qs 5h,3h,2d,0.0,checks
808734299,6.89,1,5,Tc 4s,4.01,3,1.93,0.7121212121212122,0,0,-1,2,Ts Qs 5h,3h,2d,0.0,folds
808732670,5.0,0,5,Ah 7h,7.0,2,1.75,0.5070707070707071,0,0,-1,1,8s As Qs,Ts,5d,0.0,folds
808731413,7.34,1,6,2h 3h,15.57,2,0.0,0.952020202020202,0,0,1,-1,2s 9h 4h,2c,7c,7.34,raises
808443351,13.5,1,5,Th 9c,5.0,2,0.0,0.2873737373737374,0,0,-1,-1,Ks Qd Kh,2s,4h,0.0,checks
808443105,5.140000000000001,1,5,8h 8s,5.07,2,0.0,0.7974747474747474,0,0,1,-1,7h 3c 7d,7c,9d,0.0,checks
808442391,13.75,1,6,As 9s,3.25,2,0.0,0.36818181818181817,0,0,-1,-1,Jh 2h Qs,Kd,5s,0.0,checks
808441352,0.8499999999999996,1,4,4h Ah,28.3,2,0.0,0.3095959595959596,0,0,1,-1,Jd Kh 3s,5c,Qd,0.0,checks
808440184,7.25,1,6,5d 9s,0.75,3,0.0,0.0893939393939394,0,0,-1,-1,Qc 6c 3s,6h,2d,0.0,checks
808439766,7.25,1,5,Kc As,16.25,2,0.0,0.4398989898989899,0,0,-1,-1,3d 8c 7c,8d,9c,0.0,checks
808439720,6.01,1,6,Kh As,4.57,3,1.0,0.85,0,0,-1,-1,Qc Ah 6c,5c,Js,1.0,bets
808438107,-1.0700000000000003,0,5,Qd As,33.14,2,0.0,0.9590909090909091,0,0,0,-1,Ts Ks 3c,4s,Jd,40.13,raises
808437438,9.129999999999999,1,5,Ac Qh,12.240000000000002,2,0.0,0.33434343434343433,0,0,-1,-1,9s 3s Ks,5h,7c,0.0,checks
808435635,9.4,0,6,Ks Ts,20.439999999999998,2,8.49,0.1383838383838384,0,0,1,1,9c 2c 6c,Qs,3c,0.0,folds
808435025,13.87,1,6,9d Ks,2.26,2,0.0,0.7282828282828283,0,0,-1,-1,Kc Jc 3s,4c,As,0.0,checks
808431975,6.75,2,5,3h 3c,2.5,3,0.0,0.6611111111111111,0,0,-1,-1,Qs Qd 6h,8c,Qc,0.0,checks
808430837,1.9400000000000004,0,6,3d Kd,26.119999999999997,2,18.0,0.8757575757575757,0,0,0,-1,Ah 2h Qd,3h,Kc,18.0,bets
808429181,5.460000000000001,1,6,Js 3s,4.18,2,1.32,0.9378787878787879,0,0,0,-1,Jh 4s 7c,9h,Jc,1.32,bets
808429181,4.140000000000001,1,6,Js 3s,8.14,2,2.64,0.9378787878787879,0,0,0,0,Jh 4s 7c,9h,Jc,0.0,calls
808428440,7.0,0,5,Js Th,16.0,2,0.0,0.8232323232323232,0,0,1,-1,8d 3s Jc,3c,9s,0.0,checks
808427895,9.28,1,9,Kd Td,12.190000000000001,2,0.0,0.44494949494949493,0,0,0,-1,8d Ad 6h,7c,As,0.0,checks
808427895,9.28,1,9,Kd Td,17.98,2,5.79,0.44494949494949493,0,0,0,0,8d Ad 6h,7c,As,0.0,folds
808424206,12.76,1,6,8s Qd,4.48,2,0.0,0.20656565656565656,0,0,1,-1,6d 5d 4d,6s,Jc,0.0,checks
