game_id,stack,turn_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_for_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__flop_player,last_raise_turnplayer,flop,turn,mise en cas de raise/bet,decision
808909092,26.5,1,5,3c 6d,2.5,2,11.0,0.9120772946859903,0.0676930596285435,0.1565803382663848,-1,-1,3h 6s 7h,8d,11.0,bets
808906776,18.41,2,6,Qc Kh,15.77,3,0.0,0.9004830917874396,0.1569468267581475,0.0834710743801653,1,-1,Qd 5c 9h,Js,0.0,checks
808906776,18.41,2,6,Qc Kh,27.009999999999998,3,11.24,0.9004830917874396,0.1569468267581475,0.0834710743801653,1,0,Qd 5c 9h,Js,18.41,raises
808906258,6.3,0,7,Td Jd,2.5,2,1.75,0.9956521739130435,0.10227272727272728,0.018533157663592446,0,-1,4c 8h 9d,7d,1.75,bets
808902526,28.0,3,6,3s 3d,9.0,4,0.0,0.4855072463768116,0.041233157086815624,0.17833905656967286,-1,-1,9h Qc 8h,Ks,0.0,checks
808902232,7.0,1,6,8h Ah,1.5,3,1.52,0.4294685990338164,0.36350267379679146,0.14835999190119456,1,-1,Ts 4h Jc,9h,1.52,bets
808901074,4.9399999999999995,0,6,Js As,4.109999999999999,2,0.0,0.4681159420289855,0.25143325143325146,0.1363171593232943,1,-1,Qd Tc 5c,8h,0.0,checks
808899779,18.0,0,4,9c Kc,5.9,2,1.9,0.34057971014492755,0.166534339023422,0.1691494779730074,-1,1,7s 2d Jd,8s,0.0,calls
808899034,4.03,0,4,5s 2s,2.44,2,1.16,0.004347826086956522,0.24654150197628458,0.011363636363636364,1,-1,4s 8h 3h,8d,1.16,bets
808898567,4.27,1,4,Tc Ks,3.25,2,0.0,0.4797101449275362,0.08672358948602042,0.16367265469061876,1,-1,2h Qd 2s,4s,0.0,checks
808898418,16.48,1,3,6h 7s,7.039999999999999,2,3.0,0.12028985507246377,0.23035270740188774,0.2179351656095842,1,-1,Tc 4s 8h,Ac,3.0,bets
808894969,18.71,0,6,Th Tc,9.68,2,0.0,0.8198067632850241,0.063441905687895,0.09968947424777813,0,-1,2c Qh 3h,8c,0.0,checks
808811517,13.5,0,9,Kc Qs,3.5,2,2.5,0.35990338164251207,0.10511789559765572,0.18133590547383652,-1,-1,2c 3h 6s,9s,2.5,bets
808808379,13.5,0,5,Tc Jh,7.0,2,4.0,0.8666666666666667,0.059558349451966475,0.08329545454545455,1,1,8d 8s 3d,Js,0.0,folds
808807494,11.79,0,5,3c 4c,5.0,2,2.0,0.021739130434782608,0.27414911579134454,0.16150137741046833,1,1,Ts Tc 9c,7s,0.0,calls
808807146,11.72,0,6,As 9s,7.3100000000000005,2,0.0,0.4681159420289855,0.31165028665028666,0.14563580591187952,0,-1,Kd Ts 2d,Js,11.72,raises
808803803,11.85,0,7,Ah Qh,6.800000000000001,2,6.5,0.9690821256038648,0.06350267379679145,0.05465852555404794,0,-1,Ac 9s Kc,Qd,6.5,bets
808803752,8.5,0,5,Ks Qh,3.0,2,3.0,0.9830917874396136,0.11303827751196172,0.023875903291997503,-1,-1,Kh Kd 6c,3c,3.0,bets
808803254,6.46,0,6,8h 8c,2.1799999999999997,2,0.0,0.7772946859903381,0.05371900826446281,0.16101072840203276,0,-1,Js 4c 6h,3c,0.0,checks
808801046,24.419999999999998,0,5,Ks Th,13.459999999999999,3,12.0,0.8202898550724638,0.10317460317460317,0.08098591549295775,0,-1,2h Tc 5s,Jd,12.0,bets
