game_id,stack,flop_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__preflop_player,last_raise_flopplayer,flop,mise en cas de raise/bet,decision
808923830,4.75,1,6,7d Th,0.6,2,0.0,0.3371877890841813,0.06903991370010787,0.13794037940379403,-1,-1,3c Ad Jc,0.0,checks
808923651,4.25,1,5,Kh Kd,2.25,3,1.42,0.9606845513413506,0.08527131782945736,0.07295476419634264,1,-1,8s 6c Qc,1.42,bets
808923076,4.94,1,6,Ah Ad,1.6,3,0.76,0.9514338575393154,0.06415094339622641,0.08435374149659863,1,-1,7c 9s Jc,0.76,bets
808923076,4.180000000000001,1,6,Ah Ad,5.4,2,3.04,0.9514338575393154,0.06415094339622641,0.08435374149659863,1,0,7c 9s Jc,4.18,raises
808922675,27.5,0,7,5d 6d,7.49,2,1.99,0.11517113783533765,0.06190311018614869,0.20232558139534884,0,1,Jc Qh 9c,0.0,folds
808922538,25.54,1,5,9d 8s,4.5,2,1.0,0.1683626271970398,0.07921742340346992,0.21792114695340503,0,-1,5c Jc 3c,1.0,bets
808922538,24.54,1,5,9d 8s,8.5,2,3.0,0.1683626271970398,0.07921742340346992,0.21792114695340503,0,0,5c Jc 3c,0.0,folds
808922438,26.7,1,5,Qs Js,6.6,2,3.13,0.4703977798334875,0.08661659926824572,0.13391812865497077,1,-1,2h Kc 5h,3.13,bets
808922181,21.0,2,6,8c Td,6.5,3,0.0,0.2391304347826087,0.2235926373774016,0.10975918884664132,1,-1,4c 2c Qc,0.0,checks
808922181,21.0,2,6,8c Td,10.620000000000001,3,4.12,0.2391304347826087,0.2235926373774016,0.10975918884664132,1,0,4c 2c Qc,0.0,folds
808921781,28.0,1,5,Kc 9d,4.5,2,0.0,0.44819611470860315,0.09539656128674431,0.1485344239945467,0,-1,Th 6s 3h,0.0,checks
808921781,28.0,1,5,Kc 9d,5.92,2,1.42,0.44819611470860315,0.09539656128674431,0.1485344239945467,0,0,Th 6s 3h,0.0,folds
808921719,4.6499999999999995,1,5,Ad 5s,1.5899999999999999,2,0.0,0.5296022201665125,0.07368421052631578,0.14650491045638359,1,-1,9c 8h 4s,0.0,checks
808921290,21.84,0,5,8s Js,6.0,2,0.0,0.8011100832562442,0.0871559633027523,0.0998849252013809,0,-1,Th 6s 8d,0.0,checks
808919932,6.52,2,5,5s 6d,3.33,4,1.33,0.026364477335800184,0.2610532954903816,0.08080808080808081,1,3,Qs 4h 3c,0.0,calls
808919888,7.25,2,8,9c 8c,0.75,3,0.0,0.18177613320999075,0.18050243719535058,0.1255942509673853,-1,-1,Kh 6c 5d,0.0,checks
808919888,7.25,2,8,9c 8c,1.23,3,0.48,0.18177613320999075,0.18050243719535058,0.1255942509673853,-1,0,Kh 6c 5d,0.0,folds
